建築地點,發照日期,
善化區小新營段,"0814-0002,0814-0002",100/01/03
歸仁區歸仁北段,1109-5,100/01/03
白河區新興段,717718,100/01/03
仁德區興安段,249-6,100/01/03
仁德區興安段,249-5,100/01/03
仁德區興安段,249-4,100/01/03
仁德區興安段,249-3,100/01/03
仁德區興安段,249-2,100/01/03
仁德區興安段,249-1,100/01/03
永康區鹽新段,1134-1,100/01/05
永康區鹽新段,1134-2,100/01/05
永康區鹽新段,1134-3,100/01/05
永康區鹽新段,1134-4,100/01/05
永康區鹽新段,1134-5,100/01/05
永康區鹽新段,1134-6,100/01/05
永康區鹽新段,1134-7,100/01/05
永康區鹽新段,1134-8,100/01/05
永康區鹽新段,1134-9,100/01/05
永康區鹽新段,1134-10,100/01/05
永康區鹽新段,1134,100/01/05
永康區大灣段,4681,100/01/04
永康區大灣段,1015954,100/01/04
永康區大灣段,1015985,100/01/04
永康區大灣段,1015801,100/01/04
永康區大灣段,1016015,100/01/04
永康區大灣段,1016046,100/01/04
永康區大灣段,1016076,100/01/04
永康區大灣段,1022650,100/01/05
永康區大灣段,4699-13,100/01/05
永康區大灣段,1022589,100/01/05
永康區大灣段,1022620,100/01/05
永康區大灣段,"4699-4,4699-5",100/01/05
永康區大灣段,4699,100/01/05
永康區大灣段,1022375,100/01/05
永康區南灣段,274,100/01/03
永康區南灣段,274-2,100/01/03
永康區南灣段,274-3,100/01/03
永康區南灣段,274-4,100/01/03
永康區南灣段,274-5,100/01/03
永康區南灣段,274-6,100/01/03
永康區保生段,212213,100/01/06
安平區金城段,34-57,100/01/05
安平區金城段,34-56,100/01/05
安平區金城段,34-55,100/01/05
安平區金城段,34-54,100/01/05
安平區金城段,34-53,100/01/05
安平區金城段,34,100/01/05
安平區金城段,34-58,100/01/05
安平區金城段,34-59,100/01/05
安平區金城段,34-62,100/01/05
安平區金城段,34-61,100/01/05
安平區金城段,34-60,100/01/05
歸仁區武東段,533534,100/01/06
佳里區佳里段,895-33,100/01/06
下營區營安段,10191022,100/01/06
永康區鹽埕段,"0500-0000,0500-0013",100/01/06
永康區鹽埕段,"0500-0014,0500-0013",100/01/06
永康區鹽埕段,"0500-0015,0500-0013",100/01/06
永康區鹽埕段,"0500-0016,0500-0013",100/01/06
永康區鹽埕段,"0500-0017,0500-0013",100/01/06
永康區鹽埕段,"0500-0018,0500-0013",100/01/06
永康區鹽埕段,"0500-0019,0500-0013",100/01/06
永康區鹽埕段,"0500-0020,0500-0013",100/01/06
永康區鹽埕段,0500-0023,100/01/06
永康區鹽埕段,330-5,100/01/06
永康區鹽埕段,330-27,100/01/06
永康區鹽埕段,330-28,100/01/06
永康區鹽埕段,330-29,100/01/06
永康區鹽埕段,330-30,100/01/06
永康區鹽埕段,330-31,100/01/06
永康區鹽埕段,330-32,100/01/06
永康區鹽埕段,330-33,100/01/06
永康區鹽埕段,330-34,100/01/06
永康區鹽埕段,330-35,100/01/06
楠西區埔尾段,"747-5,747-6",100/01/06
中西區南寧段,6006-65,100/01/06
楠西區東勢段,368,100/01/07
永康區大灣段,7574,100/01/10
永康區大灣段,2072419,100/01/10
永康區大灣段,2072447,100/01/10
永康區大灣段,2072478,100/01/10
永康區大灣段,2072508,100/01/10
下營區營南段,1183,100/01/11
永康區大灣段,7094,100/01/10
永康區大灣段,7094-0003,100/01/10
新營區三德段,954955,100/01/10
善化區善進段,"67-6,67-26,67-27,67-28,67-29,67-30,67-31,67-32,67-33",100/01/12
善化區善進段,"67-13,67-18,67-19,67-20,67-21,67-22,67-23,67-24,67-25",100/01/12
善化區善進段,67-38,100/01/12
善化區善進段,67-36,100/01/12
善化區善進段,67-35,100/01/12
善化區善進段,67,100/01/12
善化區善進段,24473,100/01/12
善化區善進段,24504,100/01/12
善化區善進段,24532,100/01/12
善化區善進段,24563,100/01/12
善化區善進段,24593,100/01/12
善化區善進段,24654,100/01/12
善化區善進段,24685,100/01/12
善化區善進段,24716,100/01/12
善化區善進段,24746,100/01/12
善化區善進段,24777,100/01/12
善化區善進段,24807,100/01/12
善化區善進段,67-14,100/01/12
善化區善進段,67-15,100/01/12
善化區善進段,67-16,100/01/12
善化區善進段,67-17,100/01/12
北區小北段,998-452,100/01/07
北區小北段,998-451,100/01/07
北區小北段,998-450,100/01/07
北區小北段,998-449,100/01/07
北區小北段,998-448,100/01/07
北區小北段,998-80,100/01/07
仁德區大宅段,418,100/01/13
安平區金華段,148-3,100/01/07
永康區永二段,421-3,100/01/13
永康區永二段,421-2,100/01/13
永康區永二段,421-1,100/01/13
永康區永二段,421,100/01/13
中西區頂美段,283,100/01/10
新營區新營段,1294-9,100/01/14
麻豆區保安段,43,100/01/14
安南區草湖段,"726-1,726-2",100/01/14
安南區草湖段,"726-3,726-4",100/01/14
安南區草湖段,"726,726-5,726-6,726-7,726-8,726-9,726-10,726-11,726-12",100/01/14
安南區草湖段,"726-13,726-14,726-15,726-16,726-17,726-18,726-19,726-20",100/01/14
安南區草湖段,"706-2,706-3",100/01/14
安南區草湖段,"706-4,706-5",100/01/14
安南區草湖段,"706-6,706-7",100/01/14
安南區草湖段,"706-8,706-9",100/01/14
安南區草湖段,"706-10,706-11",100/01/14
安南區草湖段,"706,706-12,706-13,706-14,706-15,706-16,706-17,706-18,706-19",100/01/14
安南區草湖段,"706-1,706-20,706-21,706-22,706-23,706-24,706-25",100/01/14
安平區新南段,90,100/01/14
永康區鹽埕段,330-25,100/01/17
永康區鹽埕段,330-24,100/01/17
永康區鹽埕段,330-23,100/01/17
永康區鹽埕段,330-22,100/01/17
永康區鹽埕段,330-21,100/01/17
永康區鹽埕段,330-20,100/01/17
永康區鹽埕段,330-19,100/01/17
永康區鹽埕段,330-18,100/01/17
永康區鹽埕段,330-17,100/01/17
永康區鹽埕段,"330-16,330-3",100/01/17
永康區鹽埕段,330,100/01/17
永康區鹽埕段,330-4,100/01/17
永康區鹽埕段,330-7,100/01/17
永康區鹽埕段,330-8,100/01/17
永康區鹽埕段,330-9,100/01/17
永康區鹽埕段,330-10,100/01/17
永康區鹽埕段,330-11,100/01/17
永康區鹽埕段,330-12,100/01/17
永康區鹽埕段,330-13,100/01/17
永康區鹽埕段,"330-14,330-15",100/01/17
六甲區六甲段,1456-0002,100/01/14
六甲區六甲段,1456-0023,100/01/14
六甲區六甲段,1456-0024,100/01/14
北區文元段,1039-2,100/01/17
北區文元段,1039-7,100/01/17
北區文元段,1039-8,100/01/17
北區文元段,1039-9,100/01/17
北區文元段,1039-10,100/01/17
北區文元段,1039-11,100/01/17
北區文元段,1039-12,100/01/17
北區文元段,1039-13,100/01/17
北區文元段,1039-14,100/01/17
北區文元段,1039-15,100/01/17
麻豆區油車段,565,100/01/17
北區文元段,"1039-16,1039-17,1039-18,1039-19,1039-20,1039-21,1039-22,1039-23,1039-24",100/01/17
北區北元段,1035-13,100/01/17
六甲區六甲段,1456-0025,100/01/17
六甲區六甲段,1456-0026,100/01/17
六甲區六甲段,1456-0027,100/01/17
六甲區六甲段,1456-0028,100/01/17
安南區新淵段,44953,100/01/17
安南區新淵段,27,100/01/17
